Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
Stichting van Well - van der Snoek,Landelijk vermogensfonds,Landelijk,"Cultuur, zorg, vluchtelingen en oorlogsslachtoffers. Financierde een documentatieproject over buitenplaats Huis Landfort in oorlogstijd.",Niet gepubliceerd,Cultuurhistorisch onderzoek en documentatie over het landgoed,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://wellvandersnoek.nl/,"NIEUW. Smalle maar reele ingang: onderzoek en documentatie, niet restauratie."
Van der Wijck - de Kempenaer Stichting,Landelijk vermogensfonds,Groningen / landelijk,Financierde de bijzondere leerstoel Buitenplaatsen en Landgoederen aan de Rijksuniversiteit Groningen.,Niet gepubliceerd,Onderzoek en kennisontwikkeling ter onderbouwing van een landgoedplan,Niet gepubliceerd,Onduidelijk — loopt via de RUG,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.skbl.nl/erfgoedfondsen/,NIEUW. Vermoedelijk geen open loket; vooral relevant als kennispartner.
Van den Hazel Fonds (via Geldersch Landschap & Kasteelen),Regionaal fonds op naam,Gelderland,Fonds op naam dat grondaankoop voor natuur financiert; kocht circa 3 ha landbouwgrond bij Hoeve Kossink langs de historische enk.,Niet gepubliceerd,Aankoop van landbouwgrond voor natuuromvorming,Niet gepubliceerd,Loopt via GLK,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"Willem van Vliet, w.vanvliet@glk.nl",https://static.cbf.nl/documents/Geldersch%20Landschap%20&%20Kasteelen/2024/jaarverslag.pdf,"NIEUW, gevonden in het GLK-jaarverslag 2024. Loopt via GLK als intermediair."
Spiering Fonds (via Geldersch Landschap & Kasteelen),Regionaal fonds op naam,Gelderland,Cofinancierde de aankoop van Hoeve Kossink; gericht op grondaankoop voor natuur.,Niet gepubliceerd,Aankoop van grond voor natuur,Niet gepubliceerd,Loopt via GLK,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via GLK,https://static.cbf.nl/documents/Geldersch%20Landschap%20&%20Kasteelen/2024/jaarverslag.pdf,"NIEUW, gevonden in het GLK-jaarverslag 2024."
Stichting A.A.M. Bijleveld,Landelijk vermogensfonds,Landelijk,Natuur en dierenwelzijn; vaste begunstiger van Landschap Overijssel.,Niet gepubliceerd,Natuurbeheer en dierenwelzijn op het landgoed,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://storage.googleapis.com/landschapoverijssel_assets/04/jaarrekening-landschap-overijssel-2024.pdf,"NIEUW, gevonden in de jaarrekening van Landschap Overijssel."
Stichting Jaap van Duijn Vogelfonds,Landelijk vermogensfonds,Landelijk (veel in Noord-Holland),Weidevogel- en vogelprojecten; financierde weidevogelvriendelijk beheer bij Mosselwiel.,Niet gepubliceerd,"Weidevogelbeheer, natte natuur, aangepast maai- en beweidingsregime",Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.landschapnoordholland.nl/doe-mee/fondsen-en-stichtingen,NIEUW. Aanvulling op het Weidevogelfonds Vanellus Vanellus dat al in de lijst staat.
Stichting Don't Give Up,Landelijk vermogensfonds,Landelijk,Natuurprojecten; financierde een broedeiland voor kluten bij de Kolk van Dussen.,Niet gepubliceerd,"Concrete natuurinrichting: broedeilanden, plas-dras, soortmaatregelen",Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.landschapnoordholland.nl/doe-mee/fondsen-en-stichtingen,"NIEUW, gevonden via funder-mining bij Landschap Noord-Holland."
Stichting TriArcus,Landelijk vermogensfonds,Landelijk (actief in Noord-Holland),Ondersteunt restauratie van erfgoed in de natuur; gaf een driejarige bijdrage aan de restauratie van Fort bij Veldhuis.,Niet gepubliceerd,Restauratie van erfgoed in een natuurlijke setting — combinatie die op landgoederen vaak speelt,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.landschapnoordholland.nl/doe-mee/fondsen-en-stichtingen,NIEUW. De combinatie erfgoed-in-natuur maakt dit een gerichte kandidaat.
Stichting de Lange Brug,Landelijk vermogensfonds,Noord-Holland,Financierde een landschappelijk uitzichtpunt bij Fort bij Krommeniedijk.,Niet gepubliceerd,"Landschappelijke publieksvoorziening: uitzichtpunt, brug, pad",Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.landschapnoordholland.nl/doe-mee/fondsen-en-stichtingen,"NIEUW, gevonden via funder-mining."
ANWB Fonds,Landelijk fonds,Landelijk,Toegankelijkheid van natuur en recreatie; financierde een rolstoeltoegankelijke excursieboot in het Ilperveld.,Niet gepubliceerd,"Toegankelijkheid van het landgoed: rolstoelpaden, aangepaste voorzieningen, recreatieve ontsluiting",Niet gepubliceerd,Zie anwb.nl/fonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.landschapnoordholland.nl/doe-mee/fondsen-en-stichtingen,"NIEUW. Vult het thema TOEGANKELIJKHEID, dat in dit overzicht nog ontbrak en dat bij openstelling van landgoederen vaak speelt."
VSB Fonds Beemster,Regionaal vermogensfonds,Beemster (Noord-Holland),"Lokaal VSB-fonds, los van het landelijke VSBfonds; financierde een watersnipproject.",Niet gepubliceerd,Weidevogel- en natte natuurprojecten in de Beemster,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.landschapnoordholland.nl/doe-mee/fondsen-en-stichtingen,NIEUW. Derde losse 'VSB'-entiteit in dit overzicht (naast landelijk VSBfonds en VSB Fonds Woerden) — niet verwarren.
Turing Foundation,Landelijk vermogensfonds,Landelijk,"Kunst, onderwijs en natuur.",Niet gepubliceerd,Natuurprojecten en kunst op het landgoed,Niet gepubliceerd,Zie turingfoundation.org,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.turingfoundation.org/,NIEUW. Breed fonds met natuur als expliciet werkterrein.
Ariadne Fonds,Landelijk vermogensfonds,Landelijk,Natuur en voedsel; doneerde aan een voedselbosproject van Wij.land.,Niet gepubliceerd,"Voedselbos, natuurinclusieve landbouw",Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://wij.land/wp-content/uploads/2023/06/Financieel-jaarverslag-Wijland-2022-wg-1.pdf,"NIEUW, gevonden in het jaarverslag van Wij.land."
Weide Weelde Fonds,Regionaal/thematisch fonds,"Noord-Nederland (Groningen, Friesland, Drenthe)","Biodiversiteit in Noord-Nederland: vogels, vlinders, bijen en insecten via boeren-natuurinitiatieven; met name kruidenrijk grasland.",Boeren en grondgebruikers in Noord-Nederland,Kruidenrijk grasland op eigen of verpachte grond,Niet gepubliceerd,Aanvraagformulier downloaden via de site,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.weideweeldefonds.nl/,NIEUW. Gericht op de boer-natuur-combinatie die op veel landgoederen speelt.
'Samen voor Biodiversiteit' Innovatiefonds,Landelijk themafonds,Landelijk,"Innovatieve samenwerking tussen burgers en grondgebruikers (boeren, terreinbeheerders, overheden) voor biodiversiteitsherstel. Eerdere ronde specifiek gericht op plas-dras en weidevogels: zonnepompen, kruidenrijk grasland, waterkwaliteit.",Samenwerkingsverbanden van burgers en grondgebruikers,Weidevogel- en plasdrasprojecten met samenwerking in de omgeving,"EUR 100.000 per ronde, verdeeld over meerdere projecten",Rondes openen periodiek,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.samenvoorbiodiversiteit.nl/innovatiefonds/aanvraag,NIEUW. Vraagt expliciet samenwerking met de omgeving — sluit aan bij de publieksdimensie uit het implementatieplan.
VriendenLoterij - culturele partners / eenmalige schenking,Loterij (privaat),Landelijk / bovenregionaal,"Voortzetting van de erfgoedlijn van de voormalige BankGiro Loterij: behoud, verrijking en toegankelijkheid van nationaal openbaar cultuurbezit, expliciet inclusief restauratie en monumentenzorg. Podiumkunsten uitgesloten.",Professionele organisaties met Erkenning Goede Doelen en minimaal EUR 400.000 eigen jaarinkomsten,"Grote restauratie van hoofdhuis of kasteel, publieksontsluiting van de buitenplaats. Precedent: Kasteel de Haar werd in 2025 meerjarig partner.",MINIMALE bijdrage EUR 200.000,"DEADLINE 15 SEPTEMBER. Projectplan, begroting, dekkingsplan, jaarverslag en jaarrekening naar aanvragen@vriendenloterij.nl. Beoordeling door de Toekenningenraad begin volgend kalenderjaar.","Projectplan, begroting, dekkingsplan, jaarverslag en jaarrekening",aanvragen@vriendenloterij.nl,https://www.vriendenloterij.nl/goede-doelen/culturele-partners/aanvraagprocedure/,NIEUW en belangrijk: de erfgoedlijn van de BankGiro Loterij bestaat dus nog wel degelijk. Alleen haalbaar voor grote landgoederen met een professionele erfgoedstichting — de ondergrens van EUR 200.000 bijdrage en EUR 400.000 eigen inkomsten is hard.
"VriendenLoterij - clubs, verenigingen en stichtingen",Loterij (privaat),Landelijk,Deelnemers kiezen zelf welke club of stichting zij steunen; de organisatie ontvangt minimaal 40% van de lotprijs van elk aan haar gekoppeld lot.,"Elke club, vereniging of stichting","Structurele, vrij besteedbare inkomstenstroom voor de landgoed- of vriendenstichting","Minimaal 40% van elke lotprijs, jaarlijks uitgekeerd; geen bovengrens","Laagdrempelig: aanmelden via het formulier 'partner worden', beoordeling binnen enkele dagen",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via vriendenloterij.nl,https://www.vriendenloterij.nl/goede-doelen/clubs-verenigingen/meld-uw-club-aan,NIEUW en over het hoofd gezien: dit is de laagdrempelige route zonder ondergrens en zonder gepubliceerde ANBI-eis. Geen projectfinanciering maar een structurele inkomstenstroom.
VriendenLoterij - Clubs van de Week,Loterij (privaat),Landelijk,"Projectbijdrage voor aangesloten clubs en stichtingen: duurzaamheid, inclusiviteit, maatschappelijk doel.",Al aangesloten partners met minimaal 20 actieve loten,"Kleine investering: bankjes, toegankelijk pad, zonnepanelen op een bijgebouw",EUR 5.000 aan 100 organisaties per jaar; projectkosten bij voorkeur maximaal EUR 10.000 incl. btw,Voorwaarde: al partner zijn en minimaal 20 actieve loten. Uitslag binnen 8-12 weken.,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via vriendenloterij.nl,https://www.vriendenloterij.nl/goede-doelen/clubs-verenigingen/club-van-de-week,NIEUW. Vervolgstap nadat je partner bent geworden.
Postcode Loterij Buurtfonds (uitvoering Stichting DOEN),Loterij (privaat),Landelijk,Leefbaarheid en vergroening van buurten.,Alle maatschappelijke organisaties en initiatieven in Nederland,"Kleine publieksgerichte vergroening samen met bewoners: buurtmoestuin, speelbos, toegankelijk groen aan de rand van het landgoed","EUR 500 - 5.000, uitkering binnen 2-6 weken",Laagdrempelig en doorlopend via postcodeloterijbuurtfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Via Stichting DOEN,https://www.doen.nl/postcode-loterij-buurtfonds/,NIEUW. De enige echt toegankelijke Postcode Loterij-route; snel en klein.
Nationale Postcode Loterij - beneficiantschap,Loterij (privaat),Landelijk,"Mens en natuur: natuurbescherming, klimaat en milieu, dierenbescherming, sociale cohesie.",Landelijk opererende organisaties met minimaal EUR 800.000 eigen fondsenwerving per jaar en ANBI-status,"Alleen voor landelijke natuurorganisaties, niet voor een enkel landgoed","Meerjarig, minimaal 5 jaar; bijdrage mag maximaal 25% van de totale inkomsten zijn","DEADLINE 1 SEPTEMBER jaarlijks, via het online portaal",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,aanvraag@postcodeloterij.nl,https://www.postcodeloterij.nl/goede-doelen/aanvraag-indienen/toekenningscriteria,"NIEUW maar met een zeer hoge drempel. Het Droomfonds is NIET aanvraagbaar: dat wordt gevoed door een afdracht van bestaande beneficianten. Enige route daarheen is coalitiepartner worden van Natuurmonumenten, WNF, ARK of LandschappenNL."
Cultuurfonds voor Monumenten / Cultuurfonds-Hypotheek,Publiek/hybride (buiten scope fondsen),"9 provincies (Groningen, Friesland, Overijssel, Gelderland, Utrecht, Zuid-Holland, Noord-Brabant, Noord-Holland, Zeeland)","Laagrentende hypotheek voor GEMEENTELIJKE en PROVINCIALE monumenten en beeldbepalende panden: onderhoud, herbestemming en verduurzaming. Samenwerking van het Cultuurfonds en het Nationaal Restauratiefonds.","Particuliere eigenaren, rechtspersonen en instellingen; GEEN overheden","Financiering van bijgebouwen, tuinmanswoning of boerderijen op het landgoed die GEEN rijksmonument zijn","Lening, geen gift; leenbedrag gebaseerd op de herstelkosten van de monumentale waarde",Project moet uitvoeringsgereed zijn; via het Nationaal Restauratiefonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Nationaal Restauratiefonds,https://www.cultuurfonds.nl/cultuurfonds-voor-monumenten,"NIEUW en praktisch: rijksmonumenten hebben veel loketten, maar voor gemeentelijke en provinciale monumenten en beeldbepalende panden is dit vaak de enige route. Let op: LENING, geen schenking."
Restauratiefondsplus-hypotheek,Publiek/hybride (buiten scope fondsen),Landelijk,Laagrentende lening voor grote restauraties van rijksmonumenten.,Eigenaren van rijksmonumenten,Grote restauratie van hoofdhuis of kasteel,"Vanaf EUR 300.000, lage rente",Via het Nationaal Restauratiefonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Nationaal Restauratiefonds,https://www.restauratiefonds.nl/zakelijk/financieren/alle-zakelijke-financieringen,NIEUW. Aanvulling op de reeds opgenomen Restauratiefonds-hypotheek; dit is de zware variant.
Duurzame Monumenten-Lening (DUMO),Publiek/hybride (buiten scope fondsen),Landelijk,Laagrentende lening voor verduurzaming van monumenten; looptijd tot 30 jaar.,Monumenteigenaren,"Isolatie, warmtepomp, installaties in koetshuis, oranjerie of hoofdhuis","Lage rente, looptijd maximaal 30 jaar",Via het Nationaal Restauratiefonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Nationaal Restauratiefonds,https://www.restauratiefonds.nl/zakelijk/financieren/alle-zakelijke-financieringen,NIEUW. Vult het verduurzamingsgat.
"Investeringsfonds Duurzame Landbouw (IDL, Nationaal Groenfonds)",Publiek/hybride (buiten scope fondsen),Landelijk,"Omschakeling naar duurzame, natuurinclusieve of regeneratieve landbouw en stikstofreductie.",Primaire agrarische ondernemers en samenwerkingsverbanden,Landgoed met een eigen of verpachte landbouwtak die omschakelt naar natuurinclusief,Maximaal EUR 500.000 per bedrijf tegen 1% rente,"Checklist, bedrijfsplan en cofinanciering, via het klantportaal",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"Nationaal Groenfonds, 088 253 9255",https://www.nationaalgroenfonds.nl/investeringsfonds-duurzame-landbouw/,"NIEUW en gunstig geprijsd (1% rente). LET OP: het Groenfonds verstrekt nooit aan particulieren, alleen aan rechtspersonen."
Monumentenfonds 1818,Regionaal vermogensfonds (revolverend),"Haaglanden (Den Haag, Delft, Leiden e.o.)",Laagrentende leningen voor renovatie en restauratie van gemeentelijke monumenten en kerken met een nieuwe functie.,Monumenteigenaren in Haaglanden,Herbestemming van een monument in de regio,Regionale fondsen doorgaans EUR 10.000 - 150.000,Via het Nationaal Restauratiefonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Nationaal Restauratiefonds,https://www.restauratiefonds.nl/monumenteigenaren/financieringen/monumentenfonds-1818,NIEUW.
Gelders Monumentenfonds,Regionaal vermogensfonds (revolverend),Gelderland,"Revolverend provinciaal monumentenfonds voor restauratie, verduurzaming en herbestemming.",Monumenteigenaren in Gelderland,Restauratie of herbestemming in Gelderland,Niet gepubliceerd,Via het Nationaal Restauratiefonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Nationaal Restauratiefonds,https://www.restauratiefonds.nl/partners/samenwerkingen-en-fondsen,NIEUW. Gelderland ontbrak nog in de rij provinciale monumentenfondsen.
Maassteden Monumentenfonds,Regionaal vermogensfonds (revolverend),"Schiedam, Vlaardingen, Maassluis",Leningen voor rijks- en gemeentelijke monumenten en beeldbepalende panden.,Monumenteigenaren in de Maassteden,Restauratie in het werkgebied,EUR 10.000 - 150.000,Via het Nationaal Restauratiefonds,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Nationaal Restauratiefonds,https://www.restauratiefonds.nl/partners/samenwerkingen-en-fondsen,NIEUW.
Van Tellingen-Pul Stichting,Regionaal vermogensfonds,Gemeente Zeist,"Sociale, culturele en educatieve projecten in de gemeente Zeist.",Organisaties in Zeist,Landgoederen van de Stichtse Lustwarande — een van de dichtstbevolkte buitenplaatszones van Nederland,Niet gepubliceerd,Zie vantellingen-pul.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.vantellingen-pul.nl/,"NIEUW. Klein werkgebied, maar dat werkgebied is uitzonderlijk rijk aan buitenplaatsen."
Ridderschap van Utrecht,Regionaal vermogensfonds,Provincie Utrecht,Steunt projecten in de Utrechtse samenleving; komt voort uit de historische ridderschap.,Niet gepubliceerd,Historische en erfgoedprojecten in Utrecht,Niet gepubliceerd,Voorwaarden niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.ridderschap-utrecht.nl/,NIEUW. De adellijke achtergrond maakt een landgoedproject inhoudelijk kansrijk; voorwaarden navragen.
Fentener van Vlissingen Fonds,Regionaal vermogensfonds,Provincie Utrecht,"Podiumkunsten, beeldende kunst, cultureel erfgoed en vernieuwende renovatie.",Niet gepubliceerd,Herbestemming of renovatie met een culturele functie,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.fentenervanvlissingenfonds.nl/,NIEUW. Let op: dit is een andere entiteit dan het Mr. August Fentener van Vlissingen Fonds.
Stichting Mens en zijn Natuur,Regionaal vermogensfonds,Gemeente De Bilt (Utrecht),"Welzijn en leefbaarheid, cultuur en cultuurhistorie, natuurbehoud en natuureducatie.",Niet gepubliceerd,Natuurherstel gecombineerd met educatie in De Bilt,Niet gepubliceerd,Zie mensenzijnnatuur.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.mensenzijnnatuur.nl/aanvragen/,"NIEUW. Combineert natuur, cultuurhistorie en educatie — een goede match, maar zeer klein werkgebied."
Van Baaren Stichting,Regionaal vermogensfonds,Stad Utrecht,Sociaal-culturele projecten in de stad Utrecht.,Niet gepubliceerd,Breed; alleen relevant binnen de stadsgrenzen,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.vanbaarenstichting.nl/,NIEUW.
A.W. Hofmanfonds,Regionaal vermogensfonds,Regio Nijmegen,"Cultuur, natuurbehoud, welzijn en sport.",Niet gepubliceerd,Natuur- en erfgoedprojecten in het Rijk van Nijmegen,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.fondsenwerving-nederland.nl/vermogensfondsen/regionale-en-lokale-vermogensfondsen/vermogensfondsen-in-gelderland/,NIEUW.
Fonds 1845,Regionaal vermogensfonds,Noord- en Oost-Veluwe,"Welzijn, cultuur, natuurbehoud en sport.",Niet gepubliceerd,Natuur- en erfgoedprojecten op de Veluwe — een landgoedrijk gebied,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.fondsenwerving-nederland.nl/vermogensfondsen/regionale-en-lokale-vermogensfondsen/vermogensfondsen-in-gelderland/,"NIEUW. De Veluwe telt veel landgoederen, dus het werkgebied is gunstig."
De Dullertstichting,Regionaal vermogensfonds,Regio Arnhem,"Welzijn, cultuur en natuurbehoud.",Niet gepubliceerd,Natuur- en erfgoedprojecten rond Arnhem,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.fondsenwerving-nederland.nl/vermogensfondsen/regionale-en-lokale-vermogensfondsen/vermogensfondsen-in-gelderland/,NIEUW.
Fonds 1819,Regionaal vermogensfonds,"Borculo, Goor, Lochem en Ruurlo (Achterhoek)",Leefbaarheid van de lokale gemeenschap.,Niet gepubliceerd,Landgoedprojecten in de Achterhoek met een gemeenschapscomponent,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.fonds1819.nl/,NIEUW. De Achterhoek is landgoedrijk.
Landschapsfonds Holland Rijnland,Regionaal/thematisch fonds,Holland Rijnland (Leidse regio),Onderhoud van het traditionele Hollandse landschap.,Niet gepubliceerd,Landschapselementen en karakteristiek landschap,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.fonds1818.nl/aanvragen/voor-organisaties/andere-fondsen,NIEUW.
Groenfonds Midden-Delfland,Regionaal/thematisch fonds,Midden-Delfland,Instandhouding van het agrarisch cultuurlandschap en stad-land-educatie.,Niet gepubliceerd,Landschapsbeheer en educatie,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.groenfondsmiddendelfland.nl/,NIEUW. Niet hetzelfde als het Omgevingsfonds Midden-Delfland dat al in de lijst staat.
Streekfonds Krimpenerwaard,Regionaal/thematisch fonds,Krimpenerwaard,Streekfonds voor landschap en leefomgeving.,Niet gepubliceerd,Landschapselementen in het veenweidegebied,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.streekfondskrimpenerwaard.nl/,NIEUW.
Biesbosch Streekfonds,Regionaal/thematisch fonds,Biesbosch-regio (Zuid-Holland/Noord-Brabant),Streekfonds voor natuur en landschap.,Niet gepubliceerd,Natuur en landschap in de Biesbosch-regio,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.biesboschstreekfonds.nl/,NIEUW.
Waddenfonds,Publiek/hybride (buiten scope fondsen),"Waddengebied (Groningen, Friesland, kop van Noord-Holland)","Ecologie en duurzame economie van het Waddengebied; thema's natuur, water en bodem, werelderfgoed en cultuurhistorie, duurzame recreatie.",Organisaties in het Waddengebied,Landgoed in het Waddengebied: natuur gecombineerd met cultuurhistorie,Tot EUR 50.000 in de kleine regeling,Zie waddenfonds.nl,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://waddenfonds.nl/,"NIEUW. Publiek geld, maar een reele financieringsbron voor landgoederen in het werkgebied."
Herbert Duintjer Fonds,Regionaal vermogensfonds,Friesland (voorkeur),"Archeologie, lokale geschiedenis, musea, natuurbescherming en monumentenzorg.",Niet gepubliceerd,"Archeologie, monument en natuur in Friesland — een brede en gunstige combinatie",Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.erfgoedplatformoverijssel.nl/kennisbank/financiering-en-subsidiemogelijkheden/,NIEUW. Stond eerder als MISSCHIEN in de FIN-sweep; nu bevestigd als relevant.
Stichting Siebolt Foundation,Regionaal vermogensfonds,Friesland,Ondersteuning van cultureel en historisch erfgoed.,Niet gepubliceerd,Erfgoedrestauratie in Friesland,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.erfgoedplatformoverijssel.nl/kennisbank/financiering-en-subsidiemogelijkheden/,NIEUW.
Fiks Omgevingsfonds,Regionaal/thematisch fonds,Friese IJsselmeerkust,"Versterken van de kust via verduurzaming, natuur, toerisme, recreatie, cultuur en erfgoed.",Niet gepubliceerd,Landgoed aan de Friese IJsselmeerkust,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.erfgoedplatformoverijssel.nl/kennisbank/financiering-en-subsidiemogelijkheden/,NIEUW.
Erfgoed Fundaasje,Regionaal/thematisch fonds,Friesland,Behoud van Friese familie- en bedrijfsarchieven.,Niet gepubliceerd,Het landgoedarchief — vaak een vergeten maar kwetsbaar onderdeel van het erfgoed,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.erfgoedfundaasje.nl/,NIEUW. Smal maar uniek: archieffinanciering komt in geen enkel ander fonds in dit overzicht voor.
Bolhuisfonds,Regionaal vermogensfonds,"Groningen, Friesland, Drenthe","Architectuur en beeldende kunst, met een onderzoekscomponent.",Niet gepubliceerd,Bouwhistorisch onderzoek aan het landgoed,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.skbl.nl/erfgoedfondsen/,NIEUW.
Emmaplein Foundation,Regionaal vermogensfonds,"Groningen, Friesland, Drenthe","Charitatieve, culturele en wetenschappelijke doelen in Noord-Nederland.",Niet gepubliceerd,"Educatie en onderzoek — LET OP: restauratie, onderhoud van monumenten en festivals zijn EXPLICIET UITGESLOTEN",Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.emmapleinfoundation.nl/,"NIEUW, met een belangrijke beperking: monumenten en restauratie vallen er juist buiten."
Brabants Heemfonds,Regionaal/thematisch fonds,Noord-Brabant,Stimuleert vernieuwende erfgoedprojecten door heemkundige en culturele verenigingen.,Heemkundige en culturele verenigingen,Erfgoedproject samen met een lokale vereniging,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://www.brabantsheem.nl/brabants-heemfonds/,NIEUW. Vereist samenwerking met een lokale vereniging.
Stichting Tilmanshof,Regionaal vermogensfonds,'s-Hertogenbosch e.o.,"Kleinschalige projecten op het gebied van liefdadigheid, milieu, cultuur en recreatie.",Niet gepubliceerd,Klein natuur- of erfgoedproject in de regio Den Bosch,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://tilmanshof.nl/,NIEUW.
Mastboom-Brosens Stichting,Regionaal vermogensfonds,West-Brabant en Noorderkempen,Regionale geschiedenis en genealogie.,Niet gepubliceerd,Historisch onderzoek naar het landgoed en zijn bewoners,Niet gepubliceerd,Niet gepubliceerd,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Niet gepubliceerd,https://mastboomhuis.nl/de-stichting/,NIEUW.
